Code,Name,Description
ANTH240B,Research Design and Writing in Sociocultural Anthropology,"How to design a fieldwork project and write a dissertation research proposal; the search for funding agencies; how to deal with funding institutions, professional organizations, publishers and employers; issues of a career in anthropology."
ANTH240C,Research Seminar in Cultural Anthropology,Required research and writing seminar during which second-year graduate students write individual MA papers.
ANTH241,Contemporary Topics in Biological Anthropology,"Read and discuss professional literature in biological anthropology and related fields: evolutionary and life history theory, human biology, paleoanthropology, biomedical science and primatology. Course keeps students abreast of key developments in t..."
ANTH241A,Current Findings in Biological Anthropology,"Open to graduate students in biological anthropology and allied fields, this course reviews research findings in human evolutionary studies."
ANTH241B,Current Methods in Biological Anthropology,"Open to graduate students in biological anthropology and allied fields, this course reviews research methods in human evolutionary studies."
ANTH243,Archaeology of Warfare,A survey of archaeological research on the topic of interpersonal violence and warfare. Particular attention is given to the causes and consequences of warfare.
ANTH244,Pedagogical Methods and Strategies in Biological Anthropology,"Primarily for graduate students in other subfields of anthropology, to help them master effective methods for teaching biological anthropology at the undergraduate level."
ANTH245,Anthropological Demography and Life History,"Core concepts of demography are covered, including theory and methods related to fertility, mortality and population dynamics. Themes include aging, maternal and child health, demographic and epidemiological transitions. Lecture with class discussion..."
ANTH245A,Quantitative Data Analysis Archaeology,"This course is and introduction to the practical analysis of commonly-encountered archaeological data using simple quantitative and statistical procedures, such as exploratory data analysis, sampling, regression, and spatial analysis. The course is t..."
ANTH245B,Quantitative Data Analysis in Archaeology,A working knowledge of quantitative methods that aid recognition of patterns in archaeological data; an understanding of the sorts of archaeological problems that can be attacked quantitatively; and experience in research designs which yield data tha...
ANTH245IA,Evolutionary Anthropology Lab,Weekly discussion of IAS faculty and graduate student work in progress
ANTH25,Violence and the Japanese State,Examines historiographically and sociologically the Japanese State's various engagements in violent acts during war and peace times.
